1-Elvira Gallardo-2730838-202256250
4-Jesús García-6740032-201586135
5-Ildefonso Ibáñez-4591456-202185670
1-Ezequiel Mora-5821628-201900955
2-Julio Giménez-2169314-201680083
3-Columbano Martínez-2681354-202140612
4-Ezequiel Vargas-3409487-202221851
5-Probo Gutiérrez-7175667-201680882
1-Cesáreo Crespo-2581180-201711585
2-Hildegarda Romero-4626709-202006569
3-Juan Cabrera-2171242-202178010
4-Macario Caballero-1311309-201725995
5-Joel Cambil-7715000-201908549
1-Salvio Garrido-3426825-201864536
2-Mauricio Pérez-3024377-201752852
3-Jacinto Suárez-9155688-201959805
4-Montserrat Flores-2982677-202271576
5-Dolores León-4661022-202137570
1-Ceferino Herrera-3760464-202003765
2-Esdras Arias-2830825-201965790
3-Montserrat Méndez-5503385-202006976
4-Ester Rodríguez-6435269-201861015
5-Roberto Cambil-3923232-202070096
1-Gertrudis Santos-7694005-202299704
2-Agustín Ruiz-5617888-201956786
3-Gregorio González-6652956-201757316
4-Rosalia Montero-9334157-201939279
5-Catalina Prieto-7065425-201724067
1-Siro Castro-9786385-201582818
2-Claudio Méndez-4772726-201764967
3-Cayo Méndez-3256592-201689216
4-Guido Gutiérrez-8362801-202048270
5-Lucas Cambil-4726654-201956654
1-Constancio Prieto-4801634-202145761
2-Oseas Alonso-1395741-201527786
3-Martín Alonso-6732884-201746199
4-Guadalupe Santana-4214992-201928802
5-Velerio Parra-6727456-201778616
1-Joan Montoro-4731602-201843409
2-Godofredo Hidalgo-7791645-202112253
3-Salvador Gil-3141728-202176066
4-Rubén Ramírez-4247547-201975267
5-Mar Arias-5369944-202225868
1-Camilo Sáez-6212549-202113534
2-Borja Garrido-6484150-201967142
3-Anselmo Crespo-5055229-201988353
4-Jonás López-1642103-202048586
5-Oto Molina-2203797-201528542
1-Inocencio Lorenzo-2109005-202213569
2--6481963-201916911
3-Siro Díaz-9711478-201589196
4-Tomás Mora-9065766-201515037
5-Jaime Cortés-9156830-201932603
1-Federico Benítez-5529070-202230228
2-Guido Delgado-8307624-201750006
3-Víctor Carmona-7568143-201751302
4-Colombo Díez-1534456-201780056
5-Jonathan Fuentes-5564629-201779236
1-Natividad Cambil-6399019-201965322
2-Calixto Gallego-8569441-201861553
3-Benigno Mora-2241719-201975590
4-Mauricio Domínguez-2896303-201783450
5-Ernesto Suárez-9163479-202168552
1-Salvio Moreno-2939578-202016293
2-Aitor Giménez-3489492-201623486
3-Ciro Vargas-6713984-201580739
4-Aresio Vargas-1769710-202080772
5-Ángela Ortiz-6968816-201705545
1-Victorino Peña-4075423-202014766
2-Sofía Ferrer-6928383-201764488
3-Cosme Castro-8173127-201581860
4-Cipriano Velasco-6382405-201650118
5-Xavier Martín-2701012-201892326
1-Esdras Delgado-1170165-201717140
2-Reinaldo Prieto-9009271-202072000
3-Nazario Garrido-8483229-201598096
4-Dorotea Suárez-9717451-201901233
5-Carina Ramos-8461148-201637211
1-Amaro Vicente-2390250-201649017
2-Fortunato Méndez-8609899-201793427
3-Baldomero León-9867247-201816559
4-David López-2599244-202187388
5-Atanasio Campos-8940854-201842019
1-Cristóbal Cruz-6150300-202084082
2-Vicente Soler-3634230-201983726
3-Roberto Vázquez-2587153-201658528
4-Tomás Gil-8811443-201965927
5-Aniano Lozano-6297393-201942910
1-Miqueas Gutiérrez-9239391-201844479
2-Enrique Díez-4445740-201616507
3-Ramiro Crespo-3706242-201745521
4-Cristóbal Alonso-7546925-201628063
5-Luz Mora-8545811-201831375
1-Ángeles Álvarez-4644878-202124328
2-Santiago Cabrera-3711300-202052434
3-Isaías López-8796255-201527038
4-Heriberto Soler-1135650-202113324
5-Fabiola Delgado-8354382-201533183
1-Albina Herrera-3546374-201527801
2-Samuel Ruiz-5408575-201860000
3-Cosme Gallego-2470439-202177096
4-Marc Vega-3428041-201548227
5-Lorenzo Montero-3357860-202150166
1-Noé León-8252813-201662667
2-Colombo Giménez-1248696-201815916
3-Fátima Romero-4121352-201953925
4-Víctor Calvo-4235730-201500257
5-Edgar Muñoz-8073541-202131707
1-Romualdo Rey-7764893-201803497
2-Ernesto Lozano-4698539-201572181
3-Joan Martín-6060892-201596494
4-Epifanía Rodríguez-5013810-201533150
5-Ezequiel Parra-4009391-201742420
1-Teodora Castro-8323077-201737317
2-Patricia Cano-6184427-201771407
3-Natalia Moya-9167007-201634724
4-Reinaldo Pastor-7054377-201543152
5-Ernesto Lorenzo-9792489-201676857
1-Pancracio Sánchez-9283671-201655834
2-Beltrán Nieto-1931929-201513599
3-Eduvigis Cano-5336939-201849717
4-Jacobo Jiménez-6501578-202040371
5-Rodrigo Ruiz-8932154-202097655
1-Ruperto Gil-6069531-201642266
2-Dimas Cano-3661857-202263510
3-Laura Soto-4529931-201823496
4-Eva Jiménez-7683463-201719009
5-Salomé Carrasco-6378288-201789582
1-Honorato Lorenzo-1526199-201630255
2-Luciano Torres-1769565-201748285
3-Victorino Moya-3963543-201719561
4-Vladimiro Castro-9840100-201872042
5-Dolores Velasco-8688004-201923913
1-Juan Medina-6068875-202083496
2-Leonardo Nieto-5779202-202129238
3-Primo García-9213447-201693965
4-Noé Gutiérrez-8044042-201503244
5-Esteban Rubio-7554213-201951856
1-Luz Ibáñez-9041335-201628074
2-Norberto Herrero-6880114-202060077
3-Rosendo Velasco-2830942-201874247
4-Pilar González-6379028-202137628
5-Teófanes Velasco-4466585-201996454
1-Rubén García-1338560-202115087
2-Catalina Márquez-9718113-202257275
3-Santiago González-4971552-202045701
4-Belén Cambil-2994198-201787166
5-Mohamed León-2617812-201525777
1-Francisco Santos-1464580-202014393
2-Ernesto Vicente-5790634-201600420
3-Sofía Jiménez-8889497-202029710
4-Natividad Medina-9524044-202056552
5-Porfirio Díez-7998995-202057921
1-Alicia Muñoz-1559180-201577303
2-Elvira Arias-5887124-201644920
3-Adalberto Herrera-4304193-202058953
4-Nazario Marín-7068537-202147178
5-Atanasio Castro-5287421-201748182
1-Sergio Vidal-7708271-201705476
2-Cayo Martínez-2680464-202059776
3-Pilar Morales-8919337-201979546
4-Esdras Peña-5215383-201962060
5-Liduvina Rubio-8266414-201636231
1-Virgilio Blanco-8255199-201821048
2-Raquel Lozano-1003770-201651219
3-Oseas Serrano-8901075-202140874
4-Bernarda Fuentes-3628763-202185379
5-Patricio Vázquez-7603318-201842315
1-Rubén Romero-6007566-202075906
2-Fabiola Santos-9645688-201877977
3-Joel Moya-5519167-202227156
4-Juan Caballero-7234506-202219828
5-Borja Cano-4378299-201540880
1-Josué Martín-3892374-201842576
2-Abdón Crespo-6255027-201900717
3-Rita Ortiz-8650267-202040359
4-Juana Reyes-2843842-201961979
5-Nicanor Domínguez-4108443-201547835
